sequence_number,type,description,away_score,home_score,period,clock,scoring_play,team_id,timestamp_utc
236,Subbing in for St. Scholastica-Davion Butler,Subbing in for St. Scholastica-Davion Butler,19,48,1,00:56,False,1679,2025-11-22T01:23:34.214398
237,Layup by North Dakota St.'s Noah Feddersen,Layup by North Dakota St.'s Noah Feddersen,19,50,1,00:45,False,1641,2025-11-22T01:23:34.214401
238,North Dakota St. takes a [short] time out.,North Dakota St. takes a [short] time out.,19,50,1,00:44,False,1641,2025-11-22T01:23:34.214404
239,Jumper MISSED by St. Scholastica's Hayden Kloos,Jumper MISSED by St. Scholastica's Hayden Kloos,19,50,1,00:15,False,1679,2025-11-22T01:23:34.214407
240,Block by North Dakota St.'s Noah Feddersen,Block by North Dakota St.'s Noah Feddersen,19,50,1,00:15,False,1641,2025-11-22T01:23:34.214410
241,Defensive rebound by North Dakota St.'s Noah Feddersen,Defensive rebound by North Dakota St.'s Noah Feddersen,19,50,1,00:10,False,1641,2025-11-22T01:23:34.214412
242,Personal Foul on North Dakota St.'s Andy Stefonowicz (Davion Butler draws the foul),Personal Foul on North Dakota St.'s Andy Stefonowicz (Davion Butler draws the foul),19,50,1,00:09,False,1641,2025-11-22T01:23:34.214416
243,Foul on St. Scholastica'sSt. Scholastica,Foul on St. Scholastica'sSt. Scholastica,19,50,1,00:09,False,1679,2025-11-22T01:23:34.214419
244,Personal Foul on North Dakota St.'s Trevian Carson (Davion Butler draws the foul),Personal Foul on North Dakota St.'s Trevian Carson (Davion Butler draws the foul),19,50,1,00:03,False,1641,2025-11-22T01:23:34.214422
245,Free Throw MISSED  by St. Scholastica's Davion Butler,Free Throw MISSED  by St. Scholastica's Davion Butler,19,50,1,00:03,False,1679,2025-11-22T01:23:34.214425
246,St. Scholastica gets a rebound from a dead ball.,St. Scholastica gets a rebound from a dead ball.,19,50,1,00:03,False,1679,2025-11-22T01:23:34.214428
247,Free Throw MISSED  by St. Scholastica's Davion Butler,Free Throw MISSED  by St. Scholastica's Davion Butler,19,50,1,00:03,False,1679,2025-11-22T01:23:34.214431
248,St. Scholastica gets a rebound from a dead ball.,St. Scholastica gets a rebound from a dead ball.,19,50,1,00:03,False,1679,2025-11-22T01:23:34.214433
249,Free Throw  by St. Scholastica's Davion Butler,Free Throw  by St. Scholastica's Davion Butler,20,50,1,00:03,False,1679,2025-11-22T01:23:34.214437
